Country,Year,GDP
미국,2010,15000
미국,2011,15500
미국,2012,16200
미국,2013,16800
미국,2014,17500
미국,2015,18200
미국,2016,18700
미국,2017,19500
미국,2018,20500
미국,2019,21400
미국,2020,20900
미국,2021,23000
미국,2022,25500
미국,2023,27000
미국,2024,28000
중국,2010,6000
중국,2011,7500
중국,2012,8500
중국,2013,9600
중국,2014,10500
중국,2015,11000
중국,2016,11200
중국,2017,12200
중국,2018,13600
중국,2019,14300
중국,2020,14700
중국,2021,17700
중국,2022,18000
중국,2023,17800
중국,2024,18500
일본,2010,5700
일본,2011,6100
일본,2012,6200
일본,2013,5200
일본,2014,4800
일본,2015,4400
일본,2016,5000
일본,2017,4900
일본,2018,5000
일본,2019,5100
일본,2020,5000
일본,2021,4900
일본,2022,4200
일본,2023,4200
일본,2024,4100
독일,2010,3400
독일,2011,3700
독일,2012,3500
독일,2013,3700
독일,2014,3900
독일,2015,3400
독일,2016,3500
독일,2017,3700
독일,2018,4000
독일,2019,3900
독일,2020,3800
독일,2021,4200
독일,2022,4000
독일,2023,4400
독일,2024,4500
영국,2010,2400
영국,2011,2600
영국,2012,2700
영국,2013,2800
영국,2014,3000
영국,2015,2900
영국,2016,2700
영국,2017,2600
영국,2018,2800
영국,2019,2800
영국,2020,2700
영국,2021,3100
영국,2022,3000
영국,2023,3300
영국,2024,3400
프랑스,2010,2600
프랑스,2011,2800
프랑스,2012,2700
프랑스,2013,2800
프랑스,2014,2900
프랑스,2015,2400
프랑스,2016,2500
프랑스,2017,2600
프랑스,2018,2800
프랑스,2019,2700
프랑스,2020,2600
프랑스,2021,2900
프랑스,2022,2700
프랑스,2023,3000
프랑스,2024,3100
이탈리아,2010,2100
이탈리아,2011,2200
이탈리아,2012,2000
이탈리아,2013,2100
이탈리아,2014,2100
이탈리아,2015,1800
이탈리아,2016,1900
이탈리아,2017,2000
이탈리아,2018,2100
이탈리아,2019,2000
이탈리아,2020,1900
이탈리아,2021,2100
이탈리아,2022,2000
이탈리아,2023,2200
이탈리아,2024,2300
캐나다,2010,1600
캐나다,2011,1800
캐나다,2012,1800
캐나다,2013,1800
캐나다,2014,1800
캐나다,2015,1500
캐나다,2016,1500
캐나다,2017,1600
캐나다,2018,1700
캐나다,2019,1700
캐나다,2020,1600
캐나다,2021,2000
캐나다,2022,2100
캐나다,2023,2100
캐나다,2024,2200
대한민국,2010,1100
대한민국,2011,1200
대한민국,2012,1250
대한민국,2013,1300
대한민국,2014,1400
대한민국,2015,1450
대한민국,2016,1500
대한민국,2017,1600
대한민국,2018,1700
대한민국,2019,1650
대한민국,2020,1640
대한민국,2021,1800
대한민국,2022,1700
대한민국,2023,1750
대한민국,2024,1800
