Country,Year,Value
Apple,2018,265
Apple,2019,260
Apple,2020,274
Apple,2021,365
Apple,2022,394
Apple,2023,383
Microsoft,2018,110
Microsoft,2019,125
Microsoft,2020,143
Microsoft,2021,168
Microsoft,2022,198
Microsoft,2023,211
Amazon,2018,232
Amazon,2019,280
Amazon,2020,386
Amazon,2021,469
Amazon,2022,513
Amazon,2023,574
Google,2018,136
Google,2019,161
Google,2020,182
Google,2021,257
Google,2022,279
Google,2023,307
Nvidia,2018,9
Nvidia,2019,10
Nvidia,2020,10
Nvidia,2021,16
Nvidia,2022,26
Nvidia,2023,60
